Time;Y;Vy;Fy
5.99988e-06;-5.498045e-13;-1.832718e-07;-0.002473136
1.319991e-05;3.599938e-12;1.335973e-06;0.01708396
2.183957e-05;9.563493e-12;4.453319e-08;-0.01210243
3.220752e-05;1.09872e-11;2.301026e-07;0.001449133
4.464906e-05;1.387085e-11;2.33449e-07;2.177713e-05
5.957892e-05;1.529311e-11;-4.292329e-08;-0.001498766
7.749581e-05;1.462844e-11;-3.127125e-08;5.265437e-05
9.899839e-05;1.332463e-11;-8.999887e-08;-0.0002211294
0.0001247993;1.011596e-11;-1.58727e-07;-0.0002156725
0.0001557587;4.870457e-12;-1.801355e-07;-5.598704e-05
0.0001929032;-2.471226e-12;-2.151691e-07;-7.636342e-05
0.0002374798;-1.268287e-11;-2.42992e-07;-5.053476e-05
0.0002909718;-2.616495e-11;-2.610869e-07;-2.738823e-05
0.0003551759;-4.348354e-11;-2.783982e-07;-2.183058e-05
0.0004322407;-6.540737e-11;-2.905729e-07;-1.279105e-05
0.0005246899;-9.264146e-11;-2.98596e-07;-7.026777e-06
